item.name,item.id,item.username,"item.public_metrics[""followers_count""]","item.public_metrics[""following_count""]","item.public_metrics[""tweet_count""]","item.public_metrics[""listed_count""]"
Jaded Mandarin,25961741,Hollywood_Dave,3572,319,12146,210
WendyO.eth,935742315389444096,CryptoWendyO,249076,920,28436,2256
Meltem Demir◎rs,2363290915,Melt_Dem,234067,1811,33827,4772
Blockworks,989912836901089282,Blockworks_,158053,4848,13207,1477
Blockstream,2307692107,Blockstream,188389,901,9922,2838
Dan Held,1598709350,danheld,530292,1000,62762,5141
Ethan Lou,18909123,Ethan_Lou,3467,994,20090,59
Charlie Shrem,22682896,CharlieShrem,240833,736,17765,4015
Derek Ross 🌋⚡,9768732,derekmross,7131,3449,43845,206
Decrypt,993530753014054912,decryptmedia,93405,1570,27743,1766
David Gokhshtein,170049408,davidgokhshtein,594364,717,83075,2225
Charles V Payne,19400611,cvpayne,690247,15501,97039,2559
Don Huffines,1963156225,DonHuffines,37251,340,2367,270
Josh Mandel,35664186,JoshMandelOhio,67485,5180,2585,859
E. James White,1716581,elonjames,72335,846,155688,2196
Angela Lashbrook,92437155,lemonsand,8079,1154,12320,127
Alex Gladstein 🌋 ⚡,19721574,gladstein,159098,2704,76435,2001
Lolli 🍭,971046392872521730,trylolli,65132,1245,19623,515
Jay Gould,1414971,jaygould,65947,470,4285,311
Jamie Redman,2897392085,jamieCrypto,10759,1818,8883,430
Ben Axelrod,23132068,BenAxelrod,30757,2803,106051,565
The Wolf Of All Streets,17351167,scottmelker,787227,1092,101617,7648
Frank Holland,4618597162,FrankCNBC,7500,3988,7510,127
Bitcoin Magazine,361289499,BitcoinMagazine,2042007,679,20264,12389
David Gokhshtein,170049408,davidgokhshtein,594364,717,83075,2225
Ray Youssef,3313864528,raypaxful,27523,1606,11959,274
BlockFi,933113177197264896,BlockFi,148158,39,11552,1325
nic carter,420308365,nic__carter,298089,2851,44688,5089
Namcios,1273776346771132417,namcios,3568,583,1497,57
Kyle Hill (kaleazy.btc),253389790,kaleazy,10413,1019,14570,190
Bitcoin News,3367334171,BTCTN,2312348,921,24849,10327
Chris Dunn,14923571,ChrisDunnTV,56056,169,13002,1107
Sonja Peteranderl,420809309,glocalreporting,4508,917,24023,392
Alex Jiménez,562967099,RAlexJimenez,16016,989,133016,2048
SlicedBrand,1239185320803028992,slicedbrand,485,5,848,5
Barron's,20449296,barronsonline,213778,35,62997,4886
Ben LaBolt,114497182,BenLaBolt,51510,2375,164,937
Blockstream,2307692107,Blockstream,188389,901,9922,2838
Brittany Crocker,469834078,BrittCrocker,513,821,2000,32
Paul R. La Monica,104952689,LaMonicaBuzz,49292,4893,137613,1510
Unchained Capital,798698426259148800,unchainedcap,28059,641,4669,602
Scott Nover,1611627979,ScottNover,10864,2072,72956,324
Jeff Booth,16461706,JeffBooth,299874,5116,7467,2469
Markets Insider,65448361,MktsInsider,69048,51,141822,2256
Token Metrics,1136430327176581120,tokenmetricsinc,37845,56,4471,404
Bloomberg,34713362,business,7858683,1372,759908,64632
Fast Company,2735591,FastCompany,2344797,4231,288365,42789
Shane Hazel,123036487,ShaneTHazel,33797,2662,26538,112
Mohamed A. ₿asset,219719193,SymbianSyMoh,25169,796,73748,237
CoinDesk,1333467482,CoinDesk,2643044,1466,88471,19236
Pomp 🌪,339061487,APompliano,1482438,6475,62381,14218
./kevinsekniqi 🔺 good vibes only,995834351316324352,kevinsekniqi,52842,792,4778,666
Preston Byrne,151936663,prestonjbyrne,51795,2580,12261,1813
Ledger,2652239532,Ledger,292013,262,16662,2684
David Levitt,292450753,dmlevitt,7139,1568,11427,356
Digital Asset Investor,991345218678116353,digitalassetbuy,241229,5126,15711,839
Miami New Times,16861311,MiamiNewTimes,217406,2031,65485,2085
Lolli 🍭,971046392872521730,trylolli,65132,1245,19623,515
USA TODAY Opinion,133052366,usatodayopinion,25422,919,57338,586
Nicholas Weaver,2427244933,ncweaver,19854,394,38462,547
MMCrypto,904700529988820992,MMCrypto,746734,3366,7096,2776
Taylor Wimberly,14318328,wimbet,8120,8985,10386,172
Derek Ross 🌋⚡,9768732,derekmross,7131,3449,43845,206
Tyler Winklevoss,24222556,tyler,1018892,2654,11942,8082
Jay Gould,1414971,jaygould,65947,470,4285,311
Numbrs,1251697254,Numbrs,171389,52,760,435
John DePetro Show,22407018,JohnDePetroshow,14223,998,96286,166
Kurt Wagner,359425864,KurtWagner8,27581,1072,10989,1181
Geoffrey Miller 🔍,3656836876,primalpoly,113304,5433,47922,1365
Steve Hanke,863527548,steve_hanke,397232,6802,39033,3031
Laura Shin,26377478,laurashin,189154,2220,16491,4948
Susan Li,430421961,SusanLiTV,48170,3244,10132,500
Naomi Brockwell,553753344,naomibrockwell,50968,5448,30801,873
Natalie ₿runell,543483223,natbrunell,155807,3660,12426,956
nic carter,420308365,nic__carter,298089,2851,44688,5089
Peter McLasso ☠️,893818632089763840,PeterMcCormack,455295,2767,46303,4505
Markets Insider,65448361,MktsInsider,69048,51,141822,2256
Jameson Lopp,23618940,lopp,381309,246,34552,6529
John Markoff,1536811,markoff,58667,1492,13001,2402
Jean Chatzky,18452614,JeanChatzky,63346,963,20568,1608
Bitcoin Magazine,361289499,BitcoinMagazine,2042007,679,20264,12389
Natalie ₿runell,543483223,natbrunell,155807,3660,12426,956
Tortoise,607698782,tortoise,77815,2018,36966,555
Dow,286654612,mark_dow,92745,3837,105213,2567
Watcher.Guru,1387497871751196672,WatcherGuru,575224,20,4401,961
David Gokhshtein,170049408,davidgokhshtein,594364,717,83075,2225
Bitcoin News,3367334171,BTCTN,2312348,921,24849,10327
Hindustan Times Tech,3305925577,HTTech,17779,185,33805,110
Cynthia Lummis 🦬,1136711154435207168,CynthiaMLummis,77330,469,2109,645
Poloniex Exchange,2288889440,Poloniex,445670,82,8428,3642
rui da silva,7343782,ruidasilva,43451,219,38265,219
Bitstamp,352518189,Bitstamp,480222,140,4749,4076
Kent Lewis 🔥,7765022,kentjlewis,6344,1965,101944,1120
Naira4Dollar,96427268,Naira4Dollar,7953,1121,17976,27
The Wolf Of All Streets,17351167,scottmelker,787227,1092,101617,7648
Forbes,91478624,Forbes,17422579,5144,357798,61313
Herbert R. Sim,65563900,HerbertRSim,181954,159271,26759,1042
The Post Millennial,896731633704947712,TPostMillennial,125081,1774,42922,848
Derek Ross 🌋⚡,9768732,derekmross,7131,3449,43845,206
3kliksphilip,83989296,3kliksphilip,79374,68,5826,90
Kyle Hill (kaleazy.btc),253389790,kaleazy,10413,1019,14570,190
Blockworks,989912836901089282,Blockworks_,158053,4848,13207,1477
Numbrs,1251697254,Numbrs,171389,52,760,435
Fidelity Investments,65174274,Fidelity,319076,4652,37097,3465
Dan Held,1598709350,danheld,530292,1000,62762,5141
Raphael Schön,173602716,raphschoen,8722,783,6668,96
Gabriella Hoffman,104342107,Gabby_Hoffman,49434,4758,69754,929
Jeremy Allaire,2478756618,jerallaire,84901,1275,2870,1334
TOI Business,29959949,TOIBusiness,66865,15,212685,644
John Waggoner,29300726,JohnWaggoner,13381,6336,22214,516
Mayor Scott Conger,29831338,MayorConger,13126,2335,5576,90
Crypto Daily™,910120075637686272,cryptodailyuk,67646,1601,16506,168
Saylor Academy,271578681,saylordotorg,102643,1181,11697,474
Kraken Exchange,1399148563,krakenfx,1293296,120,6378,7426
Michael Saylor⚡️,244647486,saylor,2162219,552,2968,12750
Iran International English,1028770525160660993,IranIntl_En,32211,5,19581,309
CoinDesk,1333467482,CoinDesk,2643044,1466,88471,19236
Barry Silbert,396045469,BarrySilbert,719466,373,10684,8027
Nicoletta Wylde 🐈‍⬛,28788229,NicolettaWylde,1230,1562,3224,13
Jon Gluck,24238165,Jon_Gluck,1127,481,4388,9
Hedgeye,18719020,Hedgeye,120628,1130,77888,2613
Ser Jeff Garzik,94274445,jgarzik,93888,1142,41622,2264
🥷 Gokhshtein Media,1061044193269833728,gokhshteinmedia,63874,354,11214,145
TODAY,2483954344,todayng,228043,0,258839,387
James Bowater | Your Crypto Insider,1005086192789016576,CityAM_Crypto,5691,4002,7854,65
Unchained Capital,798698426259148800,unchainedcap,28059,641,4669,602
Quartz,573918122,qz,385755,235,188507,9618
TheNewsMinute,2227695199,thenewsminute,196700,1009,239105,1132
Matt Devost,890641,MattDevost,4585,1291,7140,225
Kitco NEWS,138513820,KitcoNewsNOW,101060,1862,64463,1316
スーパーデイブ,1232628913781846016,David_Jolly_DC,262,1119,1177,5
Andres Oppenheimer,224400256,oppenheimera,524106,673,32619,3672
Reno Omokri,264248576,renoomokri,1134005,23,65672,726
Finance Magnates,32897012,financemagnates,34787,473,31172,1060
Jack Kelly,18739385,jackjaykelly,11522,1292,54093,308
dan nguyen,14335332,dancow,18186,7204,75185,885
Atif Unaldi,14261040,atifunaldi,13193,862,41403,184
Paxful,2307190704,paxful,114809,197,26935,414
Justin • Do Different,696823,JustinWise,28900,240,1325,950
Julian Liniger,922525702779387904,julian_liniger,2541,579,2704,26
Nick Hedley,226891781,nickhedley,25270,11044,36412,91
Nigeria Newsdesk,91316071,NigeriaNewsdesk,1861709,0,289998,3231
Paul Vigna,22680719,paulvigna,35846,1711,35369,0
Mark W. Yusko #TwoPointOneQuadrillion,254280603,MarkYusko,126407,4194,94963,2898
Forbes Africa,284066524,forbesafrica,245407,177,11193,1205
Independent Business,95213382,IndoBusiness,15002,64,29724,176
Stears Business,2857405981,StearsBusiness,76790,72,84097,357
TommyD,20882957,TommyDanvers,6969,3433,9719,155
FORTUNE,25053299,FortuneMagazine,2293519,515,251864,23804
Ledger Support,1161639845531455489,Ledger_Support,21861,4,23569,107
AMBCrypto,946431618444677120,CryptoAmb,38246,0,23073,327
reason,16467567,reason,269889,367,94845,6478
Lark Davis,30325257,TheCryptoLark,863451,448,39045,5309
Helen Robertson,42042991,HelenCRobertson,16920,1462,22437,623
Markets Insider,65448361,MktsInsider,69048,51,141822,2256
City A.M.,45840503,CityAM,71966,863,205799,1597
Eric Vanderburg,16309969,evanderburg,52928,145,540332,4274
Slashdot,1068831,slashdot,302695,206,111498,10832
118,3675804933,118,3896,59,5544,122
Dr. Robin Kiera,243568454,stratorob,36405,12914,62660,715
meiraj haq,34051317,meirajhaq,3236,219,19987,8
Thomas Kralow,1252509835154919424,TKralow,1593,122,315,7
SmartCompany,15942137,SmartCompany,48765,19107,56593,1268
Joe Easton,303161755,marketsjoe,2062,915,8780,46
CoinSwitch Kuber,1258075532945588224,CoinSwitchKuber,89421,12,23309,115
Intl. Business Times,78714922,IBTimes,121347,61,200966,1755
Bitcoin News,3367334171,BTCTN,2312348,921,24849,10327
AMBCrypto,946431618444677120,CryptoAmb,38246,0,23073,327
CoryBernardi.com.au,80965423,corybernardi,49291,79,61,464
Metro Science & Tech,110972558,Metro_Tech,2822,15,4321,127
CryptoCompare,2270186526,CryptoCompare,33641,1535,10466,959
timcopeland.eth,953233327238021120,Timccopeland,27959,4598,26652,448
The Economist’s 1843 magazine,60959527,1843mag,111775,252,19141,2207
LSE Business Review,3341404331,LSEforBusiness,15711,5194,42290,395
Phemex,1171719416389591041,Phemex_official,395082,398,3571,243
Kalkine Media Australia,1005789907,kalkineau,3558,4668,60799,136
Kristi Eaton,58309749,KristiEaton,2993,2335,18406,177
ET Industry News,36324632,ETIndustryNews,47128,27,106861,553
New Scientist,19658826,newscientist,4074500,248,91552,33856
Bloomberg CityLab,331803536,CityLab,246548,839,113282,6860
ET Finance,36320862,ETFinance,82296,26,19751,731
Peter McLasso ☠️,893818632089763840,PeterMcCormack,455295,2767,46303,4505
Vauld,982364348038303744,VauldOfficial,14904,6,2641,74
Crypto Daily™,910120075637686272,cryptodailyuk,67646,1601,16506,168
The Independent,16973333,Independent,3655545,396,1218969,25944
Dan Coatsworth,624555387,Dan_Coatsworth,6000,1573,12215,142
TODAY,2483954344,todayng,228043,0,258839,387
Rand Merchant Bank,259604418,RMBCIB,13826,247,20851,116
Bloomberg Africa,632923508,BBGAfrica,191284,152,46586,1756
Nigeria Newsdesk,91316071,NigeriaNewsdesk,1861709,0,289998,3231
Mohamed A. ₿asset,219719193,SymbianSyMoh,25169,796,73748,237
CNBC-TV18,631810714,CNBCTV18News,1015277,178,237863,1943
Yunus Emre,1380634160,yunusemre,2571,632,4865,0
JAYECANE,35837162,Jayecane,242659,241,182872,427
Hindustan Times Tech,3305925577,HTTech,17779,185,33805,110
CoinDesk,1333467482,CoinDesk,2643044,1466,88471,19236
The Floor,978732571738755072,TheMoonCarl,968299,582,12546,3500
rhêtorík,95836787,djrhetorik,41402,1388,34221,105
DailyFX,23074277,DailyFX,240348,82,103082,3417
Wong Joon Ian in KL 🇲🇾,4828981,joonian,23563,7903,93518,978
Independent Premium,1044844792126033925,indypremium,4053,1,50226,43
Syscoin,119060937,syscoin,127536,6484,7275,1239
DNA,17710740,dna,2259460,23,643380,3527
Capital FM Kenya,92731878,CapitalFMKenya,1593782,665,470581,1281
The Age,32201814,theage,927325,1244,140764,4812
Outlook Magazine,22763833,Outlookindia,237141,181,416154,1528
Crypto Jack,1415997802321256453,cryptojack,21471,333,573,69
Lark Davis,30325257,TheCryptoLark,863451,448,39045,5309
The Sydney Morning Herald,16675569,smh,863365,745,227257,6783
Fast Company,2735591,FastCompany,2344797,4231,288365,42789
DT Next,3991108098,dt_next,12116,441,153746,699
Shiv Ramdas Traing To Rite Buk,511637611,nameshiv,53972,2540,54204,271
FORTUNE,25053299,FortuneMagazine,2293519,515,251864,23804
Hailey Lennon,3740778132,HaileyLennonBTC,74645,1549,34367,712
Noah Whinston,40058303,NWhinston,19513,1116,843,170
Alex Gladstein 🌋 ⚡,19721574,gladstein,159098,2704,76435,2001
Katherine Brodsky 🏴‍☠️,15670857,mysteriouskat,11622,397,24012,225
Business Insider India🇮🇳,1612504999,BiIndia,120556,223,80102,610
Laura Shin,26377478,laurashin,189154,2220,16491,4948
Calvin Ayre,32318850,CalvinAyre,31784,296,73080,696
Moneycontrol,68927629,moneycontrolcom,1245319,345,342268,3247
Financial Review,19050000,FinancialReview,332397,538,226223,3541
MMCrypto,904700529988820992,MMCrypto,746734,3366,7096,2776
Anas Alhajji,775175696645623808,anasalhajji,90020,515,119369,1138
Lolli 🍭,971046392872521730,trylolli,65132,1245,19623,515
Cobie,2259434528,cobie,620414,572,54416,9327
Jason Brett,2563329822,jason_vtf,6028,510,6505,171
Ryan L. Nave,36108832,rlnave,7464,4128,63356,162
Forbes,91478624,Forbes,17422579,5144,357798,61313
Bitget,1098881129057112064,bitgetglobal,117921,335,2987,38
Watcher.Guru,1387497871751196672,WatcherGuru,575224,20,4401,961
The Jakarta Post,68577507,jakpost,957048,9,265892,4098
sportsthread,2868388510,sportsthread,191037,187605,1044277,61
WendyO.eth,935742315389444096,CryptoWendyO,249076,920,28436,2256
Roy Price,16618503,RoyPrice,20045,2790,4020,144
MrHumanity,1046250140313505792,MrHumanityGives,98191,128,44799,60
New York Magazine,45564482,NYMag,1804487,986,204824,13608
Bitcoin News,3367334171,BTCTN,2312348,921,24849,10327
Pomp 🌪,339061487,APompliano,1482438,6475,62381,14218
Intl. Business Times,78714922,IBTimes,121347,61,200966,1755
CNBC-TV18,631810714,CNBCTV18News,1015277,178,237863,1943
Techmeme,817386,Techmeme,431017,950,158283,14840
OSL,1006846612319039489,osldotcom,9536,509,2048,111
Ian Miles Cheong,16106584,stillgray,294773,2234,375935,2414
MMCrypto,904700529988820992,MMCrypto,746734,3366,7096,2776
Steve Hanke,863527548,steve_hanke,397232,6802,39033,3031
George Wright,787963777,GeorgeWright_vi,7682,641,8964,52
Juan Arango,2400973298,JuanG_Arango,22980,790,79868,418
Rev. Wendy Hamilton for Congress-DC,1180608218059411456,revwendy3,9337,4649,13661,53
Tristan Lamonica,235784648,TristanLamonica,6005,99,1633,42
Cesar Hernandez,820558236,cesarhfutbol,10363,1626,54475,269
Natalie ₿runell,543483223,natbrunell,155807,3660,12426,956
Milena Mayorga,255507031,MilenaMayorga,330556,2468,24054,250
Zack Hunt,216099617,ZaackHunt,18321,5854,82378,348
Lark Davis,30325257,TheCryptoLark,863451,448,39045,5309
Kyle Hill (kaleazy.btc),253389790,kaleazy,10413,1019,14570,190
Max Lockie,43891668,staphwriter,2113,5826,8105,82
RedState,3135241,RedState,260204,357,139289,4191
Preston Pysh,538399586,PrestonPysh,375757,860,24574,4967
Rob Salerno,58627994,robsalerno,2202,807,29614,111
IGSquawk,1533387092,IGSquawk,59610,687,41298,1700
Derek Ross 🌋⚡,9768732,derekmross,7131,3449,43845,206
Blockworks,989912836901089282,Blockworks_,158053,4848,13207,1477
Geoff Pilkington,20548784,geoffpilkington,4957,2271,71213,71
John Batchelor,32772630,batchelorshow,46177,27546,113130,657
Courtney G Stephen,140099977,TheCStephen,6121,1799,22365,77
Matthew Dellavedova,188621689,matthewdelly,176315,1470,3577,837
David Gokhshtein,170049408,davidgokhshtein,594364,717,83075,2225
David Gura,14888467,davidgura,115196,3725,8941,1307
JRNY Crypto 🧪,952087880918228992,JRNYcrypto,773463,557,14303,3712
CoryBernardi.com.au,80965423,corybernardi,49291,79,61,464
chip goines,36589823,chipgoines,5119,5240,194277,136
Aarika for CA-32 🍎🦉,1293897127,AarikaRhodes,24712,3649,21715,145
OttoMattic,362787242,OttoMatticBaby,113935,773,314956,102
Zito,45646060,_Zeets,49410,1032,136270,667
Numbrs,1251697254,Numbrs,171389,52,760,435
Money,205789121,Money,411448,1451,108219,4698
Michael Venuto,474442010,michael_venuto,46760,3986,9142,276
Ben Shapiro,17995040,benshapiro,3761794,316,174221,12500
Libertarian Party of California,117316488,LPofCal,5744,375,5222,78
Matt Devost,890641,MattDevost,4585,1291,7140,225
Gab.com,767960339547774976,getongab,385560,119,1008,1268
Kyle Becker,321954654,kylenabecker,219070,3932,40917,1391
eToroAU,1405157748011155458,eToroAU,11060,89,849,7
Nick Harris,75062648,sportingintel,123838,975,53577,2001
Adel,151805556,AdeldMeyer,58846,21850,70167,2428
Jason Bajadaᵍᵐ,24660045,JasonBajada,7570,1448,3818,102
Peter McLasso ☠️,893818632089763840,PeterMcCormack,455295,2767,46303,4505
Ricochet,58523,Ricochet,20409,1639,86696,547
Ari Zoldan,16259973,AriZoldan,10650,11223,4259,0
Bloomberg Asia,588261604,BloombergAsia,89539,561,263842,1396
Davinci Jeremie,285869396,Davincij15,395271,164,6437,1182
