,time,high,low,open,volumefrom,volumeto,close
0,2022-01-23 09:00:00,36156.7,35783.82,35842.44,2052.21,73784680.27,35896.45
1,2022-01-23 10:00:00,35939.73,35698.33,35896.45,1469.16,52634625.18,35930.19
2,2022-01-23 11:00:00,35934.44,35644.46,35930.19,613.59,21942425.08,35709.72
3,2022-01-23 12:00:00,35852.29,35598.69,35709.72,984.22,35127715.51,35827.57
4,2022-01-23 13:00:00,36057.45,35737.79,35827.57,1223.73,43920642.11,35999.52
5,2022-01-23 14:00:00,36089.59,35090.44,35999.52,3558.3,126219270.02,35347.04
6,2022-01-23 15:00:00,35381.7,35140.11,35347.04,1338.77,47208377.9,35310.11
7,2022-01-23 16:00:00,35450.14,35189.69,35310.11,1015.66,35855501.01,35228.57
8,2022-01-23 17:00:00,35464.15,35217.46,35228.57,1035.21,36609533.54,35362.42
9,2022-01-23 18:00:00,35423.54,34901.0,35362.42,1750.22,61454496.84,34981.52
10,2022-01-23 19:00:00,35219.99,34648.38,34981.52,2743.83,95638918.42,34799.77
11,2022-01-23 20:00:00,35391.25,34736.95,34799.77,1567.79,55106212.71,35313.81
12,2022-01-23 21:00:00,35584.41,35120.67,35313.81,1580.23,55872479.46,35368.4
13,2022-01-23 22:00:00,35557.41,35307.72,35368.4,1199.78,42494623.3,35537.51
14,2022-01-23 23:00:00,36539.19,35429.94,35537.51,4806.8,173959485.08,36288.15
15,2022-01-24 00:00:00,36288.15,35786.43,36288.15,1856.17,66738343.87,35870.62
16,2022-01-24 01:00:00,36065.53,35630.11,35870.62,1350.0,48365273.87,35685.14
17,2022-01-24 02:00:00,35736.23,35194.74,35685.14,1683.24,59786396.1,35222.62
18,2022-01-24 03:00:00,35427.45,35197.59,35222.62,1002.96,35413061.46,35373.65
19,2022-01-24 04:00:00,35496.96,35093.85,35373.65,1090.79,38509316.91,35133.65
20,2022-01-24 05:00:00,35263.03,34970.78,35133.65,1243.73,43634188.6,35211.57
21,2022-01-24 06:00:00,35371.14,35075.62,35211.57,628.74,22161842.73,35284.6
22,2022-01-24 07:00:00,35329.87,34841.01,35284.6,1723.55,60475360.72,34889.14
23,2022-01-24 08:00:00,35551.57,34822.98,34889.14,2647.54,92889446.9,34989.07
24,2022-01-24 09:00:00,35091.06,34470.11,34989.07,3975.09,137941980.38,34515.15
25,2022-01-24 10:00:00,34589.44,33292.27,34515.15,7244.34,244822229.83,33309.16
26,2022-01-24 11:00:00,34169.3,33041.88,33309.16,6318.82,212925195.86,33713.73
27,2022-01-24 12:00:00,33803.66,33077.46,33713.73,3545.64,118623433.07,33112.97
28,2022-01-24 13:00:00,33778.3,32990.72,33112.97,6054.08,202363199.98,33358.04
29,2022-01-24 14:00:00,34128.63,33112.35,33358.04,6338.04,212901735.43,33658.36
30,2022-01-24 15:00:00,34365.76,33257.31,33658.36,6594.41,223560103.05,34240.76
31,2022-01-24 16:00:00,34588.28,33834.94,34240.76,9587.54,328600350.05,34458.23
32,2022-01-24 17:00:00,35554.61,34198.97,34458.23,9006.01,313005671.85,35403.27
33,2022-01-24 18:00:00,36453.83,35220.76,35403.27,6083.96,218392204.19,36209.98
34,2022-01-24 19:00:00,36348.79,35689.7,36209.98,3252.69,116979346.79,36108.11
35,2022-01-24 20:00:00,37469.19,35983.45,36108.11,6174.28,226458667.35,37244.57
36,2022-01-24 21:00:00,37256.78,36764.91,37244.57,3283.89,121287350.53,36838.36
